"filename", "language", "JSON", "Dotenv", "JavaScript JSX", "JSON with Comments", "XML", "TypeScript", "Markdown", "PostCSS", "HTML", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\reymark\Documents\react\vite\capstone1\.env", "Dotenv", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\reymark\Documents\react\vite\capstone1\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 14, 74
"c:\Users\reymark\Documents\react\vite\capstone1\components.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\reymark\Documents\react\vite\capstone1\eslint.config.js", "JavaScript JSX", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\reymark\Documents\react\vite\capstone1\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 20
"c:\Users\reymark\Documents\react\vite\capstone1\package-lock.json", "JSON", 6306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6307
"c:\Users\reymark\Documents\react\vite\capstone1\package.json", "JSON", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\reymark\Documents\react\vite\capstone1\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\reymark\Documents\react\vite\capstone1\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 2, 12, 188
"c:\Users\reymark\Documents\react\vite\capstone1\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 3, 12, 85
"c:\Users\reymark\Documents\react\vite\capstone1\src\announcement.json", "JSON", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50
"c:\Users\reymark\Documents\react\vite\capstone1\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\AboutUs-Sec4-Footer2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 3, 21
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\AboutUs-Section2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 6, 86
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\AboutUs-Section3.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 2, 10, 119
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\AboutUs-Section4.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 3, 7, 83
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\AboutUs-Section5.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 1, 17, 154
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\AnnouncementMap.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 2, 13, 108
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\DailyCoding.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 6, 55
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\IsRotating.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 2, 20
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 6, 73
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\PlateNum-Btn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 2, 5, 51
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\PlateNum-Input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 5, 36
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\PopUp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 3, 24
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ShadChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 6, 73
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\ShadChart2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 5, 128
