"filename", "language", "HTML", "JSON", "JSON with Comments", "JavaScript JSX", "TypeScript JSX", "TypeScript", "XML", "PostCSS", "Markdown", "comment", "blank", "total"
"c:\Users\reymark\Documents\react\vite\capstone1\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 14, 74
"c:\Users\reymark\Documents\react\vite\capstone1\components.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\reymark\Documents\react\vite\capstone1\eslint.config.js", "JavaScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\reymark\Documents\react\vite\capstone1\index.html", "HTML", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\reymark\Documents\react\vite\capstone1\package-lock.json", "JSON", 0, 6373, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6374
"c:\Users\reymark\Documents\react\vite\capstone1\package.json", "JSON", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\reymark\Documents\react\vite\capstone1\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\reymark\Documents\react\vite\capstone1\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 180, 0, 2, 12, 194
"c:\Users\reymark\Documents\react\vite\capstone1\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 72, 0, 0, 0, 0, 3, 12, 87
"c:\Users\reymark\Documents\react\vite\capstone1\src\announcement.json", "JSON", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50
"c:\Users\reymark\Documents\react\vite\capstone1\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\AboutUs-Sec4-Footer2.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\AboutUs-Section2.tsx", "TypeScript JSX", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 6, 86
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\AboutUs-Section3.tsx", "TypeScript JSX", 0, 0, 0, 0, 107, 0, 0, 0, 0, 2, 10, 119
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\AboutUs-Section4.tsx", "TypeScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 0, 3, 7, 83
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\AboutUs-Section5.tsx", "TypeScript JSX", 0, 0, 0, 0, 136, 0, 0, 0, 0, 1, 17, 154
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\AnnouncementMap.tsx", "TypeScript JSX", 0, 0, 0, 0, 93, 0, 0, 0, 0, 2, 13, 108
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\DailyCoding.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 7, 48
