"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\reymark\Documents\react\vite\capstone1\src\App.tsx", "TypeScript JSX", 1, 0, 0, 1
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\AboutUs-Section5.tsx", "TypeScript JSX", -2, 0, -2, -4
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\DailyCoding.tsx", "TypeScript JSX", 1, 0, 0, 1
"c:\Users\reymark\Documents\react\vite\capstone1\src\hook\useCustomHook.tsx", "TypeScript JSX", 1, 0, 1, 2
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\Documentation.tsx", "TypeScript JSX", 336, 0, 27, 363
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\PaymentSucces.tsx", "TypeScript JSX", 22, -5, 2, 19
"c:\Users\reymark\Documents\react\vite\capstone1\src\page\ProfilePage.tsx", "TypeScript JSX", 22, 0, 3, 25
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Desktop.tsx", "TypeScript JSX", -1, 0, 1, 0
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Mobile.tsx", "TypeScript JSX", 4, 0, 1, 5
"c:\Users\reymark\Documents\react\vite\capstone1\src\screenSize\Tablet.tsx", "TypeScript JSX", 4, 0, 0, 4
"Total", "-", 388, -5, 33, 416
