"filename", "language", "JSON with Comments", "JSON", "TypeScript", "XML", "TypeScript JSX", "PostCSS", "HTML", "Markdown", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\reymark\Documents\react\vite\capstone1\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 14, 74
"c:\Users\reymark\Documents\react\vite\capstone1\components.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\reymark\Documents\react\vite\capstone1\eslint.config.js", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 2, 24
"c:\Users\reymark\Documents\react\vite\capstone1\index.html", "HTML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\reymark\Documents\react\vite\capstone1\package-lock.json", "JSON", 0, 6373, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6374
"c:\Users\reymark\Documents\react\vite\capstone1\package.json", "JSON", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\reymark\Documents\react\vite\capstone1\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\reymark\Documents\react\vite\capstone1\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 180, 0, 0, 0, 2, 12, 194
"c:\Users\reymark\Documents\react\vite\capstone1\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 0, 3, 12, 88
"c:\Users\reymark\Documents\react\vite\capstone1\src\announcement.json", "JSON", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50
"c:\Users\reymark\Documents\react\vite\capstone1\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\reymark\Documents\react\vite\capstone1\src\components\AboutUs-Sec4-Footer2.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
